SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NSIL, EQ, 28-Mar-2019, 939.50, 950.00, 1049.95, 938.50, 970.00, 970.35, 964.33, 6369, 61.42, 2148, 4265, 66.96
NTPC, EQ, 28-Mar-2019, 137.00, 137.50, 139.35, 135.10, 137.10, 135.75, 136.18, 41232946, 56150.60, 108500, 24414470, 59.21
NTPC, N4, 28-Mar-2019, 1179.99, 1137.00, 1137.00, 1132.00, 1132.00, 1135.03, 1135.03, 9, 0.10, 3, 3, 33.33
NTPC, N6, 28-Mar-2019, 1290.27, 1304.59, 1304.59, 1280.00, 1285.00, 1285.00, 1296.73, 117, 1.52, 10, 116, 99.15
NTPC, N7, 28-Mar-2019, 12.58, 12.50, 12.64, 12.50, 12.64, 12.60, 12.60, 29410, 3.71, 95, 24812, 84.37
NTPC, ND, 28-Mar-2019, 1155.00, 1174.99, 1175.00, 1174.99, 1175.00, 1174.99, 1174.99, 147, 1.73, 2, 147, 100.00
NUCLEUS, EQ, 28-Mar-2019, 337.50, 337.55, 341.75, 337.25, 337.60, 338.95, 338.53, 10523, 35.62, 2463, 5862, 55.71
OBEROIRLTY, EQ, 28-Mar-2019, 523.35, 524.05, 541.95, 521.60, 531.00, 532.00, 534.61, 512934, 2742.22, 16542, 168407, 32.83
OCCL, EQ, 28-Mar-2019, 1123.30, 1128.40, 1140.00, 1121.00, 1135.00, 1138.85, 1128.72, 3732, 42.12, 412, 2676, 71.70
OFSS, EQ, 28-Mar-2019, 3370.30, 3387.00, 3408.95, 3350.00, 3378.00, 3362.90, 3384.37, 45024, 1523.78, 3943, 32016, 71.11
OIL, EQ, 28-Mar-2019, 181.40, 182.00, 186.50, 180.65, 184.65, 184.75, 184.62, 5704956, 10532.42, 54515, 3767448, 66.04
OILCOUNTUB, EQ, 28-Mar-2019, 14.70, 14.95, 15.00, 14.50, 14.60, 14.70, 14.71, 76981, 11.33, 296, 44791, 58.18
OISL, BZ, 28-Mar-2019, 2.80, 2.90, 2.90, 2.90, 2.90, 2.90, 2.90, 20945, 0.61, 22, -, -
OLECTRA, EQ, 28-Mar-2019, 252.65, 253.20, 257.30, 251.00, 253.75, 253.45, 254.19, 28601, 72.70, 664, 18679, 65.31
OMAXAUTO, EQ, 28-Mar-2019, 81.20, 81.95, 83.50, 81.50, 82.00, 82.65, 82.49, 4649, 3.83, 131, 3956, 85.09
OMAXE, EQ, 28-Mar-2019, 207.55, 208.95, 208.95, 205.10, 205.90, 206.35, 206.40, 407095, 840.25, 3908, 63389, 15.57
OMFURN, SM, 28-Mar-2019, 14.00, 13.65, 14.50, 13.65, 14.50, 14.50, 14.08, 12000, 1.69, 2, 12000, 100.00
OMKARCHEM, BE, 28-Mar-2019, 16.35, 16.00, 17.15, 16.00, 16.60, 16.25, 16.50, 20380, 3.36, 82, -, -
OMMETALS, EQ, 28-Mar-2019, 32.00, 31.80, 32.85, 31.80, 32.50, 32.20, 32.28, 13603, 4.39, 117, 11296, 83.04
ONELIFECAP, BE, 28-Mar-2019, 12.00, 12.00, 12.60, 11.55, 12.00, 12.00, 11.78, 1346, 0.16, 8, -, -
ONEPOINT, SM, 28-Mar-2019, 51.85, 52.85, 54.50, 52.50, 54.00, 53.90, 53.53, 82000, 43.90, 38, 22000, 26.83
ONGC, EQ, 28-Mar-2019, 160.10, 160.00, 160.25, 155.20, 156.75, 155.90, 156.67, 25492224, 39938.53, 87899, 12540037, 49.19
ONMOBILE, EQ, 28-Mar-2019, 42.70, 43.05, 43.30, 41.20, 41.70, 41.80, 42.52, 188067, 79.97, 1117, 94527, 50.26
ONWARDTEC, EQ, 28-Mar-2019, 58.30, 58.15, 59.75, 57.65, 58.40, 58.40, 58.32, 7161, 4.18, 84, 5864, 81.89
OPTIEMUS, EQ, 28-Mar-2019, 94.30, 98.00, 98.00, 91.10, 92.75, 92.45, 95.68, 27238, 26.06, 537, 9182, 33.71
OPTOCIRCUI, EQ, 28-Mar-2019, 7.95, 8.00, 8.25, 7.85, 8.05, 8.10, 8.11, 373959, 30.31, 559, 276002, 73.81
ORBTEXP, EQ, 28-Mar-2019, 102.85, 103.00, 108.30, 103.00, 105.50, 105.10, 106.31, 9785, 10.40, 196, 4777, 48.82
ORCHIDPHAR, BZ, 28-Mar-2019, 5.50, 5.25, 5.75, 5.25, 5.75, 5.60, 5.31, 61268, 3.25, 186, -, -
ORICONENT, EQ, 28-Mar-2019, 27.65, 28.35, 28.95, 28.00, 28.60, 28.55, 28.60, 82757, 23.67, 464, 58233, 70.37
ORIENTABRA, EQ, 28-Mar-2019, 27.30, 27.05, 27.85, 26.25, 27.20, 27.00, 26.99, 28306, 7.64, 228, 21414, 75.65
ORIENTALTL, EQ, 28-Mar-2019, 12.90, 12.85, 12.90, 12.20, 12.75, 12.75, 12.60, 6480, 0.82, 38, 5277, 81.44
ORIENTBANK, EQ, 28-Mar-2019, 114.55, 113.75, 115.95, 112.25, 115.95, 114.85, 114.23, 6759408, 7721.34, 25272, 890855, 13.18
ORIENTBELL, EQ, 28-Mar-2019, 169.80, 168.95, 178.60, 166.65, 175.00, 172.95, 173.03, 7983, 13.81, 285, 4924, 61.68
ORIENTCEM, EQ, 28-Mar-2019, 82.10, 82.20, 83.50, 80.55, 82.00, 81.85, 81.99, 52899, 43.37, 1145, 29900, 56.52
ORIENTELEC, EQ, 28-Mar-2019, 143.80, 146.00, 151.00, 145.00, 150.15, 149.85, 148.34, 232016, 344.18, 4368, 196791, 84.82
ORIENTHOT, EQ, 28-Mar-2019, 44.00, 43.95, 45.50, 43.75, 45.50, 44.95, 44.54, 35892, 15.99, 218, 32878, 91.60
ORIENTLTD, EQ, 28-Mar-2019, 143.35, 140.05, 141.00, 136.30, 139.00, 139.15, 138.83, 228, 0.32, 24, 172, 75.44
ORIENTPPR, EQ, 28-Mar-2019, 35.20, 35.40, 36.10, 34.90, 35.25, 35.20, 35.43, 386223, 136.83, 1819, 218867, 56.67
ORIENTREF, EQ, 28-Mar-2019, 234.55, 239.20, 242.90, 231.40, 242.20, 242.05, 239.65, 26317, 63.07, 657, 18817, 71.50
ORISSAMINE, EQ, 28-Mar-2019, 844.70, 854.00, 885.00, 840.55, 880.00, 871.95, 866.74, 12863, 111.49, 1547, 4929, 38.32
ORTEL, BE, 28-Mar-2019, 3.95, 3.95, 3.95, 3.95, 3.95, 3.95, 3.95, 402, 0.02, 6, -, -
ORTINLABSS, EQ, 28-Mar-2019, 14.00, 14.80, 14.80, 13.20, 13.65, 13.55, 13.44, 17055, 2.29, 85, 8426, 49.40
OSWALAGRO, EQ, 28-Mar-2019, 8.15, 8.00, 8.70, 8.00, 8.30, 8.30, 8.42, 50478, 4.25, 178, 32079, 63.55
PAGEIND, EQ, 28-Mar-2019, 24587.10, 24686.95, 25092.05, 23657.70, 24750.00, 24247.95, 24395.84, 76447, 18649.89, 20989, 40516, 53.00
PAISALO, EQ, 28-Mar-2019, 298.05, 300.10, 304.80, 297.15, 297.15, 297.40, 298.50, 251, 0.75, 20, 206, 82.07
PALASHSECU, EQ, 28-Mar-2019, 42.80, 41.10, 41.20, 41.00, 41.20, 41.20, 41.16, 579, 0.24, 8, 379, 65.46
PALREDTEC, EQ, 28-Mar-2019, 31.65, 31.30, 32.70, 31.20, 31.50, 31.65, 31.64, 4419, 1.40, 129, 2480, 56.12
PANACEABIO, EQ, 28-Mar-2019, 172.55, 172.60, 207.05, 164.60, 205.45, 205.80, 196.41, 611248, 1200.57, 14848, 118837, 19.44
PANAMAPET, EQ, 28-Mar-2019, 121.80, 122.20, 124.80, 122.15, 124.50, 124.15, 123.69, 8767, 10.84, 227, 7067, 80.61
PANSARI, SM, 28-Mar-2019, 29.75, 30.00, 30.50, 30.00, 30.00, 30.10, 30.20, 84000, 25.37, 5, 84000, 100.00
PAPERPROD, EQ, 28-Mar-2019, 194.70, 197.60, 198.80, 192.95, 197.00, 196.40, 196.13, 42336, 83.04, 343, 33786, 79.80
PARABDRUGS, BE, 28-Mar-2019, 1.60, 1.55, 1.65, 1.55, 1.60, 1.60, 1.62, 1225, 0.02, 8, -, -
PARACABLES, EQ, 28-Mar-2019, 11.15, 11.00, 11.30, 11.00, 11.10, 11.10, 11.15, 68548, 7.64, 135, 53298, 77.75
PARAGMILK, EQ, 28-Mar-2019, 255.90, 254.00, 258.15, 254.00, 256.15, 257.15, 256.99, 72108, 185.31, 2174, 51406, 71.29
